"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Apr-22","EC","European Championships 2022",10279,"MD","Round 2","5006858, 5008466","5008977, 5057965","21-17 / 21-17","21-17 "," 21-17","","","",21,17,21,17,,,,,,,2,0,42,34,8,4
"Apr-22","EC","European Championships 2022",10279,"MD","Round 2","5027874, 5035147","5008042, 5027248","21-18 / 21-14","21-18 "," 21-14","","","",21,18,21,14,,,,,,,2,0,42,32,8,4
"Apr-22","EC","European Championships 2022",10279,"MD","Round 1","5027874, 5035147","5007608, 5036698","21-19 / 21-12","21-19 "," 21-12","","","",21,19,21,12,,,,,,,2,0,42,31,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Final","5006329, 5023244","5002097, 5039226","23-21 / 21-10","23-21 "," 21-10","","","",23,21,21,10,,,,,,,2,0,44,31,8,10
"May-22","AC","Asia Championships 2022",13536,"MD","Semi final","5006329, 5023244","5009175, 5011089","22-20 / 13-21 / 21-18","22-20 "," 13-21 "," 21-18","","",22,20,13,21,21,18,,,,,2,1,56,59,8,8
"May-22","AC","Asia Championships 2022",13536,"MD","Semi final","5002097, 5039226","5006010, 5009487","21-13 / 21-15","21-13 "," 21-15","","","",21,13,21,15,,,,,,,2,0,42,28,8,8
"May-22","AC","Asia Championships 2022",13536,"MD","Quarter final","5002097, 5039226","5025193, 5026866","12-21 / 21-14 / 21-16","Dec-21"," 21-14 "," 21-16","","",12,21,21,14,21,16,,,,,2,1,54,51,8,6
"May-22","AC","Asia Championships 2022",13536,"MD","Quarter final","5009175, 5011089","5014339, 5020056","21-16 / 21-16","21-16 "," 21-16","","","",21,16,21,16,,,,,,,2,0,42,32,8,6
"May-22","AC","Asia Championships 2022",13536,"MD","Quarter final","5006329, 5023244","5017294, 5029101","21-15 / 19-21 / 21-19","21-15 "," 19-21 "," 21-19","","",21,15,19,21,21,19,,,,,2,1,61,55,8,6
"May-22","AC","Asia Championships 2022",13536,"MD","Quarter final","5006010, 5009487","5014599, 5037031","21-19 / 21-14","21-19 "," 21-14","","","",21,19,21,14,,,,,,,2,0,42,33,8,6
"May-22","AC","Asia Championships 2022",13536,"MD","Round 2","5009175, 5011089","5007276, 5037432","21-19 / 18-21 / 21-19","21-19 "," 18-21 "," 21-19","","",21,19,18,21,21,19,,,,,2,1,60,59,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Round 2","5006329, 5023244","5002370, 5015246","21-16 / 18-21 / 21-16","21-16 "," 18-21 "," 21-16","","",21,16,18,21,21,16,,,,,2,1,60,53,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Round 2","5025193, 5026866","5011481, 5021184","21-17 / 21-15","21-17 "," 21-15","","","",21,17,21,15,,,,,,,2,0,42,32,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Round 2","5014599, 5037031","5042475, 5043953","21-9 / 21-15","21-Sep"," 21-15","","","",21,9,21,15,,,,,,,2,0,42,24,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Round 2","5017294, 5029101","5002274, 5014289","21-10 / 21-12","21-Oct"," 21-12","","","",21,10,21,12,,,,,,,2,0,42,22,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Round 1","5017294, 5029101","5036131, 5038746","13-21 / 21-17 / 21-16","13-21 "," 21-17 "," 21-16","","",13,21,21,17,21,16,,,,,2,1,55,54,8,4
"May-22","AC","Asia Championships 2022",13536,"MD","Round 1","5007276, 5037432","5007921, 5033969","21-9 / 18-21 / 21-16","21-Sep"," 18-21 "," 21-16","","",21,9,18,21,21,16,,,,,2,1,60,46,8,4
