"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Mar-94","STAR5","All England Open 1994",13450,"XD","Round 1","5045110, 5046616","5030767, 5047345","15-12 / 15-9","15-Dec"," 15-9","","","",15,12,15,9,,,,,,,2,0,30,21,7,4
"Mar-94","STAR5","All England Open 1994",13450,"XD","Round 1","5048584, 5049765","5047712, 5053329","15-1 / 15-18 / 15-8","15-Jan"," 15-18 "," 15-8","","",15,1,15,18,15,8,,,,,2,1,45,27,7,4
"Mar-94","STAR5","All England Open 1994",13450,"XD","Round 1","5050441, 5050470","5033628, 5046430","15-5 / 16-17 / 15-3","15-May"," 16-17 "," 15-3","","",15,5,16,17,15,3,,,,,2,1,46,25,7,4
"Mar-92","MID","French Open 1992",12710,"XD","Final","5050027, 5053521","5046301, 5052046","18-17 / 12-15 / 15-4","18-17 "," 12-15 "," 15-4","","",18,17,12,15,15,4,,,,,2,1,45,36,1,10
"Mar-92","MID","French Open 1992",12710,"XD","Semi final","5046301, 5052046","5000439, 5047201","15-10 / 15-11","15-Oct"," 15-11","","","",15,10,15,11,,,,,,,2,0,30,21,1,8
"Mar-92","MID","French Open 1992",12710,"XD","Quarter final","5050027, 5053521","5030767, 5047345","15-8 / 15-9","15-Aug"," 15-9","","","",15,8,15,9,,,,,,,2,0,30,17,1,6
"Apr-92","EC","European Championships 1992",13695,"XD","Final","5021791, 5053579","5047106, 5049828","15-4 / 9-15 / 15-12","15-Apr"," 9-15 "," 15-12","","",15,4,9,15,15,12,,,,,2,1,39,31,8,10
"Apr-92","EC","European Championships 1992",13695,"XD","Semi final","5047106, 5049828","5046994, 5049289","15-6 / 15-11","15-Jun"," 15-11","","","",15,6,15,11,,,,,,,2,0,30,17,8,8
"Apr-92","EC","European Championships 1992",13695,"XD","Round 2","5021791, 5053579","5046756, 5050131","15-1 / 15-6","15-Jan"," 15-6","","","",15,1,15,6,,,,,,,2,0,30,7,8,4
"Jul-94","STAR5","Malaysia Open 1994",12553,"XD","Final","5050441, 5050470","5045116, 5050027","15-9 / 15-11","15-Sep"," 15-11","","","",15,9,15,11,,,,,,,2,0,30,20,7,10
"Jul-94","STAR5","Malaysia Open 1994",12553,"XD","Semi final","5050441, 5050470","5045349, 5049828","15-11 / 5-15 / 15-5","15-Nov"," 5-15 "," 15-5","","",15,11,5,15,15,5,,,,,2,1,35,31,7,8
